"","study","income","n","freq"
"1",1,"$10,000-$19,999",12,0.121212121212121
"2",1,"$100,000-$109,999",5,0.0505050505050505
"3",1,"$110,000-$119,999",3,0.0303030303030303
"4",1,"$120,000-$129,999",1,0.0101010101010101
"5",1,"$140,000-$149,999",5,0.0505050505050505
"6",1,"$150,000 or more",3,0.0303030303030303
"7",1,"$20,000-$29,999",11,0.111111111111111
"8",1,"$30,000-$39,000",8,0.0808080808080808
"9",1,"$40,000-$49,999",10,0.101010101010101
"10",1,"$50,000-$59,000",13,0.131313131313131
"11",1,"$60,000-$69,999",3,0.0303030303030303
"12",1,"$70,000-$79,999",6,0.0606060606060606
"13",1,"$80,000-$89,999",3,0.0303030303030303
"14",1,"$90,000-$99,999",6,0.0606060606060606
"15",1,"less than $10,000",10,0.101010101010101
"16",2,"$10,000-$19,999",10,0.0925925925925926
"17",2,"$100,000-$109,999",4,0.037037037037037
"18",2,"$110,000-$119,999",1,0.00925925925925926
"19",2,"$130,000-$139,999",2,0.0185185185185185
"20",2,"$140,000-$149,999",2,0.0185185185185185
"21",2,"$150,000 or more",7,0.0648148148148148
"22",2,"$20,000-$29,999",9,0.0833333333333333
"23",2,"$30,000-$39,000",15,0.138888888888889
"24",2,"$40,000-$49,999",17,0.157407407407407
"25",2,"$50,000-$59,000",7,0.0648148148148148
"26",2,"$60,000-$69,999",9,0.0833333333333333
"27",2,"$70,000-$79,999",10,0.0925925925925926
"28",2,"$80,000-$89,999",2,0.0185185185185185
"29",2,"$90,000-$99,999",2,0.0185185185185185
"30",2,"less than $10,000",11,0.101851851851852
